English;Synonyms;Latin;Synonyma;Français;Synonymes;Español;;Portugues;
Lower labial arteries;;Arteriae labiales inferiores;;Artères labiales inférieures;;Arterias labiales inferiores;;Artérias labiais inferiores;
Superior labial artery;%Superior labial branch of facial artery;Arteria labialis superior;%Arteria labialis maxillaris;Artère labiale supérieure;;Arteria labial superior;;Artéria labial superior;
Angular artery of the mouth;;Arteria angularis oris;;Artère angulaire de la bouche;;Arteria angular de la boca;;Artéria angular da boca;
Lateral nasal rostral ramus;;Ramus lateralis nasi rostralis;;Branche nasale rostrale latérale;%Rameau nasal rostral latéral;Rama nasal rostral lateral;;Ramo nasal lateral rostral;
Anastomotic branch with infra-orbital artery;;Ramus anastomoticus cum a. infra-orbitali;;Branche anastomotique avec l'artère infra-orbitaire;%Rameau anastomotique avec l'artère infra-orbitaire;Rama anastomótica con la arteria infra-orbitaria;;Ramo anastomótico com artéria infraorbital;
Angular branch of the eye;;Ramus angularis oculi;;Branche angulaire de l'oeil;%Rameau angulaire de l'oeil;Rama angular del ojo;;Ramo angular do olho;
Meningeal branch (ov, cap);;Ramus meningeus (ov, cap);;Branche méningée (ov, cap);%Branche méningée%Rameau méningé;Rama meningea (ov, cap);;Ramo meníngeo (ov, cap);
Sternocleidomastoid branch (cap);;Ramus sternocleidomastoideus (cap);;Branche sternocleidomastoïdienne (cap);%Rameau sternocleidomastoïdien;Rama esternocleidomastoidea (cap);;Ramo (capa) do esternocleidomastóideo;
Lateral auricular branch;;Ramus auricularis lateralis;;Branche auriculaire latérale;%Rameau auriculaire latéral;Rama auricula lateral;;Ramo auricular lateral;
Intermedius auricular branch (ov, cap);;Ramus auricularis intermedius (ov, cap);;Branche auriculaire intermédiaire (ov, cap);%Branche auriculaire intermédiaire%Rameau auriculaire intermédiaire;Rama auricular intermedia (ov, cap);;Ramo auricular intermediário (ov, cap);
Lateral intermediate auricular branch (bo);;Ramus auricularis intermedius lateralis (bo);;Branche auriculaire intermédiaire latérale (bo);%Branche auriculaire intermédiaire latérale%Rameau auriculaire intermédiaire latéral;Rama auricular intermedia lateral (bo);;Ramo auricular lateral intermediário (bo);
Medial intermediate auricular branch (bo);;Ramus auricularis intermedius medialis (bo);;Branche auriculaire intermédiaire médiale (bo);%Branche auriculaire intermédiaire médiale%Rameau auriculaire intermédiaire médial;Rama auricular intermedia medial (bo);;Ramo auricular medial intermediário (bo);
Occipital branch;;Ramus occipitalis;;Branche occipitale;%Rameau occipital;Rama occipital;;Ramo occipital;
Deep auricular artery;;Arteria auricularis profunda;;Artère auriculaire profonde;;Arteria auricular profunda;;Artéria auricular profunda;
Masseteric branch (bo);;Ramus massetericus (bo);;Branche massétérique (bo);%Rameau massétérique;Rama maseterica (bo);;Ramo massetérico (boi);
Superficial temporal artery;;Arteria temporalis superficialis;;Artère temporale superficielle;;Arteria temporal superficial;;Artéria temporal superficial;
Rostral auricular artery (ov, cap);;Arteria auricularis rostralis (ov, cap);;Artère auriculaire rostrale (ov, cap);%Artère auriculaire rostrale;Arteria auricular rostral (ov, cap);;Artéria auricular rostral (ov, cap);
Medial auricular branch;;Ramus auricularis medialis;;Branche auriculaire médiale;%Rameau auriculaire médial;Rama auricular medial;;Ramo auricular medial;
Transverse facial artery;;Arteria transversa faciei;;Artère faciale transverse;;Arteria facial transversa;;Artéria facial transversa;
Articular branch temporomandibular nerve (bo);;Ramus articularis temporomandibularis (bo);;Branche articulaire du nerf temporomandibulaire (bo);%Rameau articulaire du nerf temporomandibulaire;Rama articular del nervio temporomandibular (bo);;Ramo articular temporomandibular (bo);
Masseteric ramus (ov, cap);;Ramus massetericus (ov, cap);;Branche massétérique (ov, cap);%Branche massétérique%Rameau massétérique;Rama masetérica (ov, cap);;Ramo massetérico (ov, cap);
Lower labial artery (ov, cap);;Arteria labialis inferior (ov, cap);;Artère labiale inférieure (ov, cap);;Arteria labial inferior (ov, cap);;Artéria labial inferior (ov, cap);
Upper labial artery (ov, cap);;Arteria labialis superior (ov, cap);;Artère labiale supérieure (ov, cap);;Arteria labial superior (ov, cap);;Artéria labial superior (ov, cap);
Rostral auricular artery (bo);;Arteria auricularis rostralis (bo);;Artère auriculaire rostrale (bo);;Arteria auricular rostral (bo);;Artéria auricular rostral (bo);
Meningeal branch;;Ramus meningeus;;Branche meningée;%Rameau méningé;Rama meníngea;;Ramo meníngeo;
Cornual artery;;Arteria cornualis;;Artère cornuale;;Arteria cornual;;Artéria da córnea;
Lacrimal branch (bo, ov);;Ramus lacrimalis (bo, ov);;Branche lacrymale (bo, ov);%Rameau lacrymal;Rama lagrimal (bo, ov);;Ramo lacrimal (bo, ov);
Dorsal nasal artery (cap);;Arteria dorsalis nasi (cap);;Artère nasale dorsale (cap);;Arteria nasal dorsal (cap);;Artéria nasal dorsal (cápsula);
Pterygoid branch;;Ramus pterygoideus;;Branche ptérygoïdienne;%Rameau ptérygoïdien;Rama pterigoidea;;Ramo pterigoide;
Mylohyoid branch;;Ramus mylohyoideus;;Branche mylohyoïdienne;%Rameau mylohyoïdien;Rama milohioidea;;Ramo milo-hióideo;
Deep temporal artery (ov, cap);;Arteria temporalis profunda (ov, cap);;Artère temporale profonde (ov, cap);;Arteria temporal profunda (ov, cap);;Artéria temporal profunda (ov, cap);
Deep caudal temporal artery (bo);;Arteria temporalis profunda caudalis (bo);;Artère temporale caudale profonde (bo);;Arteria temporal caudal profunda (bo);;Artéria temporal caudal profunda (bo);
Masseteric artery;;Arteria masseterica;;Artère massétérique;;Arteria masetérica;;Artéria massetérica;
Deep rostral temporal artery (bo);;Arteria temporalis profunda rostralis (bo);;Artère temporale rostrale profonde (bo);;Arteria temporal rostral profunda (bo);;Artéria temporal profunda rostral (bo);
Caudal branch to rostral epidural rete mirabile;;Ramus caudalis ad rete mirabile epidurale rostrale;;Branche caudale de la rete mirabile épidurale rostrale;%Rameau caudal de la rete mirabile épidurale rostrale;Rama caudal de la rete mirabile epidural rostral;;Ramo caudal para a rede epidural rostral;
Rostral branches to rostral epidural rete mirabile;;Rami rostrales ad rete mirabile epidurale rostrale;;Branches rostrales de la rete mirabile épidurale rostrale;%Rameaux rostraux de la rete mirabile épidurale rostrale;Ramas rostrales de la rete mirabile epidural rostral;;Os ramos rostrais para a rede epidural da medula rostral;
Ophthalmic rete mirabile;;Rete mirabile ophthalmicum;;Rete mirabile ophtalmique;;Rete mirabile oftálmica;;Rede oftálmica milagrosa;
Anterior conjunctival arteries;;Arteriae conjunctivales anteriores;;Artères conjonctivales antérieures;;Arterias conjuntivales anteriores;;Artérias conjuntivais anteriores;
Anastomotic branch to internal ophthalmic artery;;Ramus anastomoticus cum a. ophthalmicum interna;;Branche anastomotique avec l'artère ophtalmique interne;%Rameau anastomotique avec l'artère ophtalmique interne;Rama anastomótica con la arteria oftalmica interna;;Ramo anastomótico com artéria oftálmica interna;
Muscular branches of lacrimal artery;;Rami musculares arteriae lacrimalis;;Branches musculaires de l'artère lacrymale;%Rameaux musculaires de l'artère lacrymale;Ramas musculares de la arteria lacrimal;;Ramos musculares da artéria lacrimal;
Superior medial palpebral artery (ov, cap);;Arteria palpebralis superior medialis (ov, cap);;Artère palpébrale médiale supérieure (ov, cap);;Arteria palpebral medial superior (ov, cap);;Artéria palpebral superior medial (ov, cap);
Angular artery of the eye (bo);;Arteria angularis oculi (bo);;Artère angulaire de l'œil (bo);;Arteria angular del ojo (bo);;Artéria angular do olho (bo);
Lateral nasal caudal artery;;Arteria lateralis nasi caudalis;;Artère nasale caudale latérale;;Arteria nasal caudal lateral;;Artéria caudal nasal lateral;
Dorsal nasal artery (bo, ov);;Arteria dorsalis nasi (bo, ov);;Artère nasale dorsale (bo, ov);;Arteria nasal dorsal (bo, ov);;Artéria nasal dorsal (bo, ov);
Dental branches of infra-orbital arteries;;Rami dentales arteriae infra-orbitalis;;Branches dentaires des artères infra-orbitaires;%Rameaux dentaires des artères infra-orbitaires;Ramas dentales de las arterias infra-orbitales;;Ramos dentais da artéria infraorbital;
Lateral nasal rostral artery;;Arteria lateralis nasi rostralis;;Artères nasale latérale rostrale;;Arterias nasales rostrales laterales;;Artéria rostral nasal lateral;
Linguofacial trunk;;Truncus linguofacialis;;Tronc linguofacial;;Tronco linguofacial;;Tronco linguofacial;
Ascending palatine artery;;Arteria palatina ascendens;;Artère palatine ascendante;;Arteria palatina ascendente;;Artéria palatina ascendente;
Lingual artery;;Arteria lingualis;;Artère linguale;;Arteria lingual;;Artéria lingual;
Facial artery;%External maxillary artery;Arteria facialis;%Arteria maxillaris externa;Artère faciale;;Arteria facial;;Artéria facial;
Inferior labial artery;%Inferior labial branch of facial artery;Arteria labialis inferior;%Arteria labialis mandibularis;Artère labiale inférieure;;Arteria labial inferior;;Artéria labial inferior;
Lateral nasal artery;;Arteria lateralis nasi;;Artère nasale latérale;;Arteria nasal lateral;;Artéria nasal lateral;
Dorsal nasal artery;%External nasal artery;Arteria dorsalis nasi;%Arteria nasi externa;Artère dorsale du nez;;Arteria dorsal de la nariz;;Artéria nasal dorsal;
Angular artery of the eye;;Arteria angularis oculi;;Artère angulaire de l'oeil;;Arteria angular del ojo;;Artéria angular do olho;
Masseteric branch;;Ramus massetericus;;Branche massétérique;%Rameau massétérique;Rama maseterica;;Ramo massetérico;
Caudal auricular artery;;Arteria auricularis caudalis;;Artère auriculaire caudale;;Arteria auricular caudal;;Artéria auricular caudal;
Intermediate auricular branch;;Ramus auricularis intermedius;;Branche auriculaire intermédiaire;%Rameau auriculaire intermédiaire;Rama auricular intermedia;;Ramo auricular intermediário;
Caudal tympanic artery;;Arteria tympanica caudalis;;Artère tympanique caudale;;Arteria timpánica caudal;;Artéria timpânica caudal;
Temporomandibular articular branch;;Ramus articularis temporomandibularis;;Branche articulaire temporomandibulaire;%Rameau articulaire temporomandibulaire;Rama articular temporomandibular;;Ramo articular temporomandibular;
Rostral auricular artery;;Arteria auricularis rostralis;;Artère auriculaire rostrale;;Arteria auricular rostral;;Artéria auricular rostral;
Maxillary artery;%Internal maxillary artery;Arteria maxillaris;%Arteria maxillaris interna;Artère maxillaire;;Arteria maxilar;;Artéria maxilar;
Inferior alveolar artery;;Arteria alveolaris inferior;%Arteria alveolaris mandibularis;Artère alvéolaire inférieure;;Arteria alveolar inferior;;Artéria alveolar inferior;
Dental branches of inferior alveolar arteries;;Rami dentales arteriae alveolaris inferior;;Branches dentaires de l'artère alvéolaire inférieure;%Rameaux dentaires de l'artère alvéolaire inférieure;Ramas dentales de la arteria alveolar inferior;;Ramos dentais da artéria alveolar inferior;
Mental artery;;Arteria mentalis;;Artère mentale;;Arteria mentoniana;;Artéria mental;
Pterygoid branches;;Rami pterygoidei;;Branches ptérygoïdiennes;%Rameaux ptérygoïdiens;Ramas pterigoideas;;Ramos pterigoides;
Rostral tympanic artery;;Arteria tympanica rostralis;;Artère tympanique rostrale;;Arteria timpánica rostral;;Artéria timpânica rostral;
Middle meningeal artery;;Arteria meningea media;%Arteria meningica media;Artère méningée moyenne;;Arteria meníngea media;;Artéria meníngea média;
Deep caudal temporal artery;;Arteria temporalis profunda caudalis;;Artère temporale caudale profonde;;Arteria temporal caudal profunda;;Artéria temporal caudal profunda;
Deep rostral temporal artery;;Arteria temporalis profunda rostralis;;Artère temporale rostrale profonde;;Arteria temporal rostral profunda;;Artéria temporal profunda rostral;
External ophthalmic artery;;Arteria ophthalmica externa;;Artère ophtalmique externe;;Arteria oftálmica externa;;Artéria oftálmica externa;
Central retinal artery;%Zinn's artery;Arteria centralis retinae;;Artère centrale de la rétine;%Artère de Zinn;Arteria central de la retina;;Artéria central da retina;
Long posterior ciliary arteries;;Arteriae ciliares posteriores longae;%Arteriae iridis;Artères ciliaires postérieures longues;;Arterias ciliares posteriores largas;;Artérias ciliares posteriores longas;
Short posterior ciliary arteries;;Arteriae ciliares posteriores breves;%Arteriae chorioideae;Artères ciliaires postérieures courtes;;Arterias ciliares posteriores cortas;;Artérias ciliares posteriores curtas;
Muscular branches;;Rami musculares;;Branches musculaires;%Rameaux musculaires;Ramas musculares;;Ramos musculares;
Anterior ciliary arteries;;Arteriae ciliares anteriores;%Ramuli ciliares;Artères ciliaires antérieures;;Arterias ciliares anteriores;;Artérias ciliares anteriores;
Episcleral arteries;;Arteriae episclerales;;Artères épisclérales;;Arterias epiesclerales;;Artérias episclerais;
Posterior conjunctival arteries;;Arteriae conjunctivales posteriores;;Artères conjonctivales postérieures;;Arterias conjuntivales posteriores;;Artérias conjuntivais posteriores;
Supra-orbital artery;%supra-orbital artery;Arteria supra-orbitalis;%Arteria frontalis lateralis;Artère supra-orbitaire;%Artère supraorbitaire;Arteria supra-orbitaria;;Artéria supraorbital;
Lacrimal artery;;Arteria lacrimalis;;Artère lacrymale;;Arteria lagrimal;;Artéria lacrimal;
Superior lateral palpebral artery;;Arteria palpebralis superior lateralis;;Artère palpébrale latérale supérieure;;Arteria palpebral lateral superior;;Artéria palpebral lateral superior;
Inferior lateral palpebral artery;;Arteria palpebralis inferior lateralis;;Artère palpébrale inférieure latérale;;Arteria palpebral lateral inferior;;Artéria palpebral lateral inferior;
External ethmoidal artery;;Arteria ethmoidalis externa;;Artère ethmoïdale externe;;Arteria etmoidal externa;;Artéria etmoidal externa;
Rostral meningeal artery;;Arteria meningea rostralis;;Artère méningée rostrale;;Arteria meníngea rostral;;Artéria meníngea rostral;
Artery of the third eyelid;;Arteria palpebrae tertiae;;Artère palpébrale tertiaire;;Arteria del tercer párpado;;Artéria da terceira pálpebra;
Buccal artery;;Arteria buccalis;%Arteria buccinatoria;Artère buccale;;Arteria bucal;;Artéria bucal;
Infra-orbital artery;%infra-orbital artery;Arteria infra-orbitalis;;Artère infra-orbitaire;%Artère infraorbitaire;Arteria infra-orbitaria;;Artéria infraorbital;
Malar artery;;Arteria malaris;;Artère malaire;;Arteria malaria;;Artéria malar;
Superior medial palpebral artery;;Arteria palpebralis superior medialis;;Artère palpébrale supérieure médiale;;Arteria palpebral superior medial;;Artéria palpebral superior medial;
Inferior medial palpebral artery;;Arteria palpebralis inferior medialis;;Artère palpébrale inférieure médiale;;Arteria palpebral inferior medial;;Artéria palpebral medial inferior;
Dental branches;;Rami dentales;;Branches dentaires;%Rameaux dentaires;Ramas dentales;;Serviços odontológicos;
Descending palatine artery;;Arteria palatina descendens;;Artère palatine descendante;;Arteria palatina descendente;;Artéria palatina descendente;
Lesser palatine artery;;Arteria palatina minor;;Petite artère palatine;;Arteria palatina menor;;Artéria palatina menor;
Greater palatine artery;;Arteria palatina major;;Artère grande palatine;;Arteria palatina mayor;;Artéria palatina maior;
Sphenopalatine artery;;Arteria sphenopalatina;%Arteria pterygopalatina;Artère sphénopalatine;;Arteria esfenopalatina;;Artéria esfenopalatina;
Caudal, lateral, and septal nasal arteries;;Arteriae nasales caudales, laterales, et septales;;Artères nasales caudales, latérales et septales;;Arterias nasales caudales, laterales y septales;;Artérias nasais caudais, laterais e septais;
Internal carotid artery;;Arteria carotis interna;%Arteria carotis interna;Artère carotide interne;;Arteria carótida interna;;Artéria carótida interna;
Carotid body;%Carotid glomus;Glomus caroticum;;Corpuscule carotidien;;Cuerpo carotídeo;;Nódulo carotídeo;
Carotid sinus;;Sinus caroticus;%Sinus caroticus;Sinus carotidien;;Seno carotídeo;;Seio carotídeo;
Caroticobasilar artery (eq);;Arteria caroticobasilaris (eq);;Artère caroticobasilaire (eq);;Arteria caróticobasilar (eq);;Artéria carótida basilar (eq);
Caudal intercarotic artery (Car, eq);;Arteria intercarotica caudalis (Car, eq);;Artère intercarotique caudale (Car, eq);%Artère intercarotique caudale;Arteria intercarótica caudal (Car, eq);;Artéria intercarótida caudal (Car, eq);
Intercarotic rostral artery (Car);;Arteria intercarotica rostralis (Car);;Artère intercarotique rostrale (Car);%Artère intercarotique rostrale;Arteria intercarótica rostral (Car);;Artéria intercarótida rostral (Car);
Stylomastoid artery;;Arteria stylomastoidea;;Artère stylomastoïdienne;;Arteria estilomastoidea;;Artéria estilomastóidea;
Caudal epidural rete mirabile;;Rete mirabile epidurale caudale;;Rete mirabile péridural caudal;;Rete mirabile epidural caudal;;Uma rede epidural caudal incrível;
Branch to the rostral epidural rete mirabile;;Ramus ad rete mirabile epidurale rostrale;;Branche du rete mirabile epidural rostral;%Rameau du rete mirabile epidural rostral;Rama de la rete mirabile epidural rostral;;Ramificação para a rede epidural rostral;
Occipital artery;;Arteria occipitalis;;Artère occipitale;;Arteria occipital;;Artéria occipital;
Ascending palatine artery (bo);;Arteria palatina ascendens (bo);;Artère palatine ascendante (bo);;Arteria palatina ascendente (bo);;Artéria palatina ascendente (bo);
Deep stylomastoid artery (bo);;Arteria stylomastoidea profunda (bo);;Artère stylomastoïdienne profonde (bo);;Arteria estilomastoidea profunda (bo);;Artéria estilomastoide profunda (bo);
Condylar artery;;Arteria condylaris;;Artère condylaire;;Arteria condilar;;Artéria condilar;
Occipital branch of condylar artery;;Ramus occipitalis arteriae condylaris;;Branche occipitale de l'artère condylaire;%Rameau occipital de l'artère condylaire;Rama occipital de la arteria condylar;;Ramo occipital da artéria condilar;
Caudal meningeal artery;;Arteria meningea caudalis;;Artère méningée caudale;;Arteria meníngea caudal;;Artéria meníngea caudal;
Rostral epidural rete mirabile;;Rete mirabile epidurale rostrale;;Rete mirabile épidural rostral;;Rete mirabile epidural rostral;;Uma notável rede epidural rostral;
Chiasmatic network (bo);;Rete chiasmaticum (bo);;Réseau chiasmatique (bo);;Red quiasmática (bo);;Rede quiasmática (bo);
Internal ophthalmic artery;;Arteria ophthalmica interna;;Artère ophtalmique interne;;Arteria oftálmica interna;;Artéria oftálmica interna;
Cerebral arteries;;Arteriae cerebri;;Artères cérébrales;;Arterias cerebrales;;Artérias cerebrais;
Cerebral arterial circle;%Circle of Willis;Circulus arteriosus cerebri;%Circulus Willisi;Cercle artériel du cerveau;%Cercle de Willis;Círculo arterial cerebral;;Artéria cerebral;
Rostral choroidal artery;;Arteria choroidea rostralis;;Artère choroïdienne rostrale;;Arteria coroidea rostral;;Artéria coroide rostral;
Rostral cerebral artery;;Arteria cerebri rostralis;;Artère cérébrale rostrale;;Arteria cerebral rostral;;Artéria cerebral rostral;
Rostral meningeal artery (fe);;Arteria meningea rostralis (fe);;Artère méningée rostrale (fe);%Artère méningée rostrale;Arteria meníngea rostral (fe);;Artéria meníngea rostral (fe);
Internal ethmoid artery;;Arteria ethmoidalis interna;;Artère ethmoïdale interne;;Arteria etmoidal interna;;Artéria etmoidal interna;
Rostral communicating artery;;Arteria communicans rostralis;;Artère communicante rostrale;;Arteria comunicante rostral;;Artéria comunicante rostral;
Cortical branches of rostral communicating artery;;Rami corticales arteriae communicantis rostralis;;Branches corticales de l'artère communiquante rostrale;%Rameaux corticaux de l'artère communiquante rostrale;Ramas corticales de la arteria communicante rostral;;Ramos corticais da artéria comunicante rostral;
central branches of rostral communicating artery;;Rami centrales arteriae communicantis rostralis;;Branches centrales de l'artère communiquante rostrale;%Rameaux centraux de l'artère communiquante rostrale;Ramas centrales de la arteria communicante rostral;;Ramos centrais da artéria comunicante rostral;
Middle cerebral artery;;Arteria cerebri media;;Artère cérébrale moyenne;;Arteria cerebral media;;Artéria cerebral média;
Cortical branches of middle cerebral artery;;Rami corticales arteriae cerebri media;;Branches corticales de l'artère cérébrale moyenne;%Rameaux corticaux de l'artère cérébrale moyenne;Ramas corticales de la arteria cerebral media;;Ramos corticais da artéria cerebral média;
Central branches of middle cerebral artery;;Rami centrales arteriae cerebri media;;Branches centrales de l'artère cérébrale moyenne;%Rameaux centraux de l'artère cérébrale moyenne;Ramas centrales de la arteria cerebral media;;Ramos centrais da artéria cerebral média;
Striate branches of middle cerebral artery;;Rami striati arteriae cerebri media;;Branches striées de l'artère cérébrale moyenne;%Rameaux striés de l'artère cérébrale moyenne;Ramas estriadas de la arteria cerebral media;;Ramos da artéria cerebral média;
Caudal communicating artery;;Arteria communicans caudalis;;Artère communicante caudale;;Arteria comunicante caudal;;Artéria comunicante caudal;
Caudal artery of brain;;Arteria cerebri caudalis;;Artère caudale du cerveau;;Arteria cerebral caudal;;Artéria cerebral caudal;
Caudal choroid branches;;Rami choroidei caudales;;Branches choroïdiennes caudales;%Rameaux choroïdiens caudaux;Ramas coroideas caudales;;Ramos caudais da coroide;
Cortical branches;;Rami corticales;;Branches corticales;%Rameaux corticaux;Ramas corticales;;Ramos corticais;
Central branches;;Rami centrales;;Branches centrales;%Rameaux centraux;Ramas centrales;;Filiais centrais;
Rostral cerebellar artery;;Arteria cerebelli rostralis;;Artère cérébelleuse rostrale;;Arteria cerebelar rostral;;Artéria cerebelar rostral;
Subclavian artery;;Arteria subclavia;;Artère subclavière;;Arteria subclavia;;Artéria subclávia;
Dorsal intercostal artery;;Arteria intercostalis dorsalis;;Artère intercostale dorsale;;Arteria intercostal dorsal;;Artéria intercostal dorsal;
Thoracic vertebral artery (ca);;Arteria vertebralis thoracica (ca);;Artère vertébrale thoracique (ca);%Artère vertébrale thoracique;Arteria vertebral torácica (ca);;Artéria vertebral torácica (ca);
Dorsal intercostal arteries II and III;;Arteriae intercostales dorsales II et III;;Artères intercostales dorsales II et III;;Arterias intercostales dorsales II y III;;Artérias intercostais dorsais II e III;
Dorsal branches;;Rami dorsales;;Branches dorsales;%Rameaux dorsaux;Ramas dorsales;;Ramos dorsais;
Spinal branche;;Ramus spinalis;;Branche épineuse;%Rameau épineux;Rama espinal;;Ramo espinhal;
Supreme intercostal artery (fe);;Arteria intercostalis suprema (fe);;Artère intercostale suprême (fe);%Artère intercostale suprême;Arteria intercostal suprema (fe);;Artéria intercostal superior (fe);
Right dorsal intercostal artery;;Arteria intercostalis dorsalis dextra;;Artère intercostale dorsale droite;;Arteria intercostal dorsal derecha;;Artéria intercostal dorsal direita;
Spinal branches;;Rami spinales;;Branches spinales;%Rameaux spinauxs;Ramas espinales;;Ramos espinais;
Dorsal spinal artery;;Arteria spinalis dorsalis;;Artère spinale dorsale;;Arteria espinal dorsal;;Artéria espinhal dorsal;
Ventral spinal artery;;Arteria spinalis ventralis;;Artère spinale ventrale;;Arteria espinal ventral;;Artéria espinhal ventral;
Anastomotic branch with occipital artery;;Ramus anastomoticus cum arteria occipitali;;Branche anastomotique avec l'artère occipitale;%Rameau anastomotique avec l'artère occipitale%Rameau anastomotique avec l'artère occipitale;Rama anastomótica con arteria occipital;;Ramo anastomótico com a artéria occipital;
Descending branch;;Ramus descendens;;Rameau descendant;;Rama descendente;;Ramo descendente;
Basilar artery;;Arteria basilaris;%Arteria basialis;Artère basilaire;;Arteria basilar;;Artéria basilar;
caudal cerebellar artery;;Arteria cerebelli caudalis;;Artère cérébelleuse caudale;;Arteria caudal del cerebelo;;Artéria cerebelar caudal;
Labyrinthine artery;%Internal auditory artery;Arteria labyrinthi;%Arteria auditiva interna%Ramus meatus acustici interni;Artère labyrinthique;;Arteria laberíntica;;Artéria labiríntica;
Branches to the pons;;Rami ad pontem;;Branches du pont;%Rameaux du pont;Ramas del puente;;Ramos para a ponte;
Dorsal intercostal artery II;;Arteria intercostalis dorsalis II;;Artère intercostale dorsale II;;Arteria intercostal dorsal II;;Artéria intercostal dorsal II;
Left dorsal intercostal artery I;;Arteria intercostalis dorsalis I sinistra;;Artère intercostale dorsale I gauche;;Arteria intercostal dorsal I izquierda;;Artéria intercostal dorsal 1ª esquerda;
Dorsal intercostal arteries III-V;;Arteriae intercostales dorsales III-V;;Artères intercostales dorsales III-V;;Arterias intercostales dorsales III-V;;Artérias intercostais dorsais III-V;
Dorsal branch of dorsal intercostal arteries III-V;;Ramus dorsalis arteriarum intercostales dorsales III-V;;Branche dorsale des artères intercostales dorsales III-V;%Rameau dorsal des artères intercostales dorsales III-V;Rama dorsal de las arterias intercostales dorsales III-V;;Ramo dorsal das artérias intercostais dorsais III-V;
Spinal branch of dorsal intercostal arteries III-V;;Ramus spinalis arteriarum intercostales dorsales III-V;;Branche spinale des artères intercostales dorsales III-V;%Rameau spinal des artères intercostales dorsales III-V;Rama espinal de las arterias intercostales dorsales III-V;;Ramo espinhal das artérias intercostais dorsais III-V;
Dorsal intercostal arteries I and II (III);;Arteriae intercostales dorsales I et II (III);;Artères intercostales dorsales I et II (III);%Artères intercostales dorsales I et II;Arterias intercostales dorsales I y II (III);;Artérias intercostais dorsais I e II (III);
Dorsal branch of dorsal intercostal arteries I and II (III);;R. dorsalis arteriarum intercostales dorsales I et II (III);;Branche dorsale des a. intercostales dorsales I et II (III);%Rameau dorsal des a. intercostales dorsales I et II;R. dorsal de las aa. intercostales dorsales I y II (III);;Artérias intercostais R. dorsalis I e II (III);
Spinal branch of dorsal intercostal arteries I and II (III);;R. spinalis arteriarum intercostales dorsales I et II (III);;Branche spinale des a. intercostales dorsales I et II (III);%Rameau spinal des a. intercostales dorsales I et II;R. espinal de las aa. intercostales dorsales I y II (III);;Artéria espinhal das artérias intercostais dorsais I e II (III);
Descending branch of labyrinthic artery;;Ramus descendens arteriae labyrinthi;;Branche descendante de l'artère labyrinthique;%Rameau descendant de l'artère labyrinthique;Rama descendente de la arteria laberíntica;;Ramo descendente da artéria labiríntica;
Superficial cervical artery;;Arteria cervicalis superficialis;;Artère cervicale superficielle;;Arteria cervical superficial;;Artéria cervical superficial;
Ascending branch;;Ramus ascendens;;Branche ascendante;%Rameau ascendant;Rama ascendente;;Ramo ascendente;
Prescapular branch;;Ramus prescapularis;;Branche préscapulaire;%Rameau préscapulaire;Rama preescapular;;Ramo pré-escapular;
Suprascapular artery (ov, cap);;Arteria suprascapularis (ov, cap);;Artère suprascapulaire (oc, cap);;Arteria supraescapular (ov, cap);;Artéria supraescapular (ov, cap);
Acromialis branch of suprascapular artery;;Ramus acromialis arteriae suprascapularis;;Branche acromiale de l'artère suprascapulaire;%Rameau acromial de l'artère suprascapulaire;Rama acromial de la arteria suprascapular;;Ramo acromial da artéria supraescapular;
Suprascapular branch (bo);;Ramus suprascapularis (bo);;Branche suprascapulaire (bo);%Rameau suprascapulaire;Rama supraescapular (bo);;Ramo supraescapular (boi);
Acromialis branch;;Ramus acromialis;;Branche acromiale;%Rameau acromial;Rama acromial;;Ramo acromial;
Internal thoracic artery;%Internal mammary artery;Arteria thoracica interna;%Arteria mammaria interna;Artère thoracique interne;;Arteria torácica interna;;Artéria torácica interna;
Pericardiacophrenic artery;;Arteria pericardiacophrenica;;Artère péricardiacophrénique;;Arteria pericardiacofrénica;;Artéria pericardiafronênica;
Thymic branches of pericardiacophrenic artery;;Rami thymici arteriae pericardiacophrenica;;Branches thymiques de l'artère péricardiacophrénique;%Rameaux thymiques de l'artère péricardiacophrénique;Ramas thymicas de la arteria pericardiacofrenica;;Ramos das artérias tímica e pericardiofrênica;
Mediastinal branches of pericardiacophrenic artery;;Rami mediastinales arteriae pericardiacophrenica;;Branches médiastinales de l'artère péricardiacophrénique;%Rameaux médiastinaux de l'artère péricardiacophrénique;Ramas mediastínales de la arteria pericardiacofrenica;;Ramos mediastinais da artéria pericardia frênica;
Perforating branches of pericardiacophrenic artery;;Rami perforantes arteriae pericardiacophrenica;;Branches perforantes de l'artère péricardiacophrénique;%Rameaux perforants de l'artère péricardiacophrénique;Ramas recurrentes de la arteria pericardiacofrenica;;Ramos perfurantes da artéria pericardiofrênica;
Sternal branches of pericardiacophrenic artery;;Rami sternales arteriae pericardiacophrenica;;Branches sternales de l'artère péricardiacophrénique;%Rameaux sternaux de l'artère péricardiacophrénique;Ramas esternales de la arteria pericardiacofrenica;;Ramos esternais da artéria pericardia frênica;
Ventral intercostal branches of pericardiacophrenic artery;;Rami intercostales ventrales arteriae pericardiacophrenicae;;Br. intercostales ventrales de l' a. péricardiacophrénique;;Rr. intercostales ventrales de la a. pericardiacofrenica;;Ramos intercostais ventrais da artéria pericardiofrênica;
